Id,WorkoutId,HorseId,WorkoutTypeId,Distance,WorkoutDistanceTypeId,Minutes,Seconds,Fifths,Comment,CreatedAt
20217,157,20171612,3,3.0,,,41.0,1.0,,2021-02-20 04:21:25
20218,157,20161230,24,0.0,,,,,,2021-02-20 04:21:57
20219,157,20100215,24,0.0,,,,,,2021-02-20 04:22:28
20220,157,20171036,24,0.0,,,,,,2021-02-20 04:22:41
20221,157,20150553,14,0.0,,,,,,2021-02-20 04:22:55
20222,157,20151318,24,0.0,,,,,,2021-02-20 04:23:11
20223,157,20182304,21,5.0,3.0,1.0,3.0,4.0,"EASY, 1ST. 4F 474 WITH CURLIN'S FLIGHT",2021-02-20 04:25:55
20224,157,20181594,21,5.0,3.0,1.0,4.0,2.0,"EASY, 1ST. 4F 482 WITH TEQUILA BLUE",2021-02-20 04:28:28
20225,157,20133770,14,0.0,,,,,,2021-02-20 04:31:14
20226,157,20140919,21,5.0,3.0,1.0,,1.0,"RIDDEN, 1ST. 4F 460",2021-02-20 04:33:31
20227,157,20171389,24,0.0,,,,,,2021-02-20 04:34:01
20228,157,20182182,24,0.0,,,,,,2021-02-20 04:34:24
20229,157,20172795,14,0.0,,,,,,2021-02-20 04:34:52
20230,157,20172846,3,5.0,,1.0,11.0,3.0,,2021-02-20 04:35:21
20231,157,20172871,14,0.0,,,,,,2021-02-20 04:35:40
20232,157,20143849,14,0.0,,,,,,2021-02-20 04:35:55
20233,157,20162277,14,0.0,,,,,,2021-02-20 04:36:10
20234,157,20152173,3,4.0,,,52.0,,,2021-02-20 04:36:37
20235,157,20180077,24,0.0,,,,,,2021-02-20 04:37:02
20236,157,20171738,24,0.0,,,,,,2021-02-20 04:38:12
20237,158,20161694,17,6.0,2.0,1.0,27.0,2.0,,2021-02-21 04:37:12
20238,158,20131094,4,0.0,,,,,,2021-02-21 04:37:31
20239,158,20160324,24,0.0,,,,,,2021-02-21 04:37:55
20240,158,20161816,24,0.0,,,,,,2021-02-21 04:38:37
20241,158,20173005,24,0.0,,,,,,2021-02-21 04:38:51
20242,158,20150073,14,0.0,,,,,,2021-02-21 04:39:05
20243,158,20170504,24,0.0,,,,,,2021-02-21 04:39:17
20244,158,20142655,24,0.0,,,,,,2021-02-21 04:39:28
20245,158,20162217,24,0.0,,,,,,2021-02-21 04:39:41
20246,158,20180204,24,0.0,,,,,,2021-02-21 04:40:04
20247,158,20180017,24,0.0,,,,,,2021-02-21 04:40:19
20248,158,20172215,6,5.5,,1.0,7.0,4.0,LAST 5F 1013,2021-02-21 04:41:19
20249,158,20180764,24,0.0,,,,,,2021-02-21 04:41:33
20250,158,20161967,4,0.0,,,,,,2021-02-21 04:41:46
20251,158,20170973,6,5.0,,1.0,4.0,,,2021-02-21 04:42:24
20252,158,20160339,2,5.5,,1.0,10.0,0.0,"EASY, LAST 5F 1030 EASY",2021-02-21 04:47:55
20253,158,20163072,24,0.0,,,,,,2021-02-21 04:48:11
20254,158,20181716,24,0.0,,,,,,2021-02-21 04:48:21
20255,158,20170453,1,0.0,1.0,,,,,2021-02-21 04:48:57
20256,158,20162959,4,0.0,,,,,,2021-02-21 04:49:12
20257,158,20182748,24,0.0,,,,,,2021-02-21 04:49:30
20258,158,20170302,24,0.0,,,,,,2021-02-21 04:49:44
20259,158,20151318,2,3.0,3.0,,36.0,0.0,RIDDEN,2021-02-21 04:50:34
20260,158,20181241,2,5.0,,1.0,3.0,3.0,EASY,2021-02-21 05:03:07
20261,158,20182682,2,3.0,,,38.0,3.0,EASY WITH SURE CURLIN,2021-02-21 05:03:51
20262,158,20181685,2,3.0,,,38.0,3.0,EASY WITH HEAVENLY GLITTER,2021-02-21 05:04:44
20263,158,20171763,24,0.0,,,,,,2021-02-21 05:05:01
20264,158,20170099,4,0.0,,,,,,2021-02-21 05:05:17
20265,158,20181034,24,0.0,,,,,,2021-02-21 05:05:33
20266,158,20182708,24,0.0,,,,,,2021-02-21 05:05:42
20267,158,20180688,24,0.0,,,,,,2021-02-21 05:05:55
20268,158,20170473,24,0.0,,,,,,2021-02-21 05:06:05
20269,158,20170908,24,0.0,,,,,,2021-02-21 05:06:37
20270,158,20182531,24,0.0,,,,,,2021-02-21 05:06:56
20271,158,20181812,2,6.0,,1.0,17.0,3.0,,2021-02-21 05:07:38
20272,158,20181923,24,0.0,,,,,,2021-02-21 05:07:57
20273,158,20182364,24,0.0,,,,,,2021-02-21 05:08:16
20274,158,20172255,24,0.0,,,,,,2021-02-21 05:08:25
20275,158,20181509,17,7.0,,1.0,39.0,3.0,,2021-02-21 05:08:50
20276,158,20170135,24,0.0,,,,,,2021-02-21 05:09:01
20277,158,20161452,24,0.0,,,,,,2021-02-21 05:09:15
20278,158,20170877,24,0.0,,,,,,2021-02-21 05:09:27
20279,158,20182859,1,0.0,1.0,,,,,2021-02-21 05:09:51
20280,158,20171001,24,0.0,,,,,,2021-02-21 05:10:12
20281,158,20160713,22,0.0,,,,,,2021-02-21 05:13:21
20282,158,20170706,2,5.0,,1.0,6.0,2.0,EASY,2021-02-21 05:14:04
20283,158,20172240,24,0.0,,,,,,2021-02-21 05:14:17
20284,158,20161992,2,5.0,,1.0,5.0,3.0,,2021-02-21 05:14:50
20285,158,20170635,24,0.0,,,,,,2021-02-21 05:15:04
20286,158,20172831,2,5.0,,1.0,4.0,1.0,,2021-02-21 05:15:46
20287,158,20171703,2,4.0,,,50.0,4.0,RIDDEN,2021-02-21 05:16:22
20288,158,20180577,2,3.0,,,36.0,4.0,RIDDEN,2021-02-21 05:17:03
20289,158,20171430,24,0.0,,,,,,2021-02-21 05:17:20
20290,158,20180633,24,0.0,,,,,,2021-02-21 05:17:34
20291,158,20150295,24,0.0,,,,,,2021-02-21 05:17:45
20292,158,20142539,3,3.0,,,42.0,2.0,,2021-02-21 05:18:22
20293,158,20171470,3,3.0,,,41.0,2.0,,2021-02-21 05:18:46
20294,158,20162373,25,0.0,,,,,,2021-02-21 05:19:02
20295,158,20170413,24,0.0,,,,,,2021-02-21 05:19:18
20296,158,20180193,24,0.0,,,,,,2021-02-21 05:19:44
20297,158,20183114,1,10.0,,,,,,2021-02-21 05:20:05
20298,158,20180800,24,0.0,,,,,,2021-02-21 05:20:23
