Id,WorkoutId,HorseId,WorkoutTypeId,Distance,WorkoutDistanceTypeId,Minutes,Seconds,Fifths,Comment,CreatedAt
7,9,20162959,1,9.0,1.0,,,,,2020-09-03 03:53:14
8,9,20161412,1,9.0,2.0,,,,,2020-09-03 03:53:45
9,9,20172679,1,9.0,2.0,,,,,2020-09-03 03:54:19
10,9,20161967,14,0.0,,,,,,2020-09-05 09:07:50
11,9,20171450,1,9.0,3.0,,,,,2020-09-05 09:08:44
12,9,20172699,1,9.0,1.0,,,,,2020-09-05 09:14:48
13,9,20162964,1,9.0,1.0,,,,,2020-09-05 09:16:44
14,9,20162171,1,0.0,3.0,,,,,2020-09-05 10:23:52
15,9,20143869,1,9.0,2.0,,,,,2020-09-05 10:24:18
16,9,20160713,1,9.0,1.0,,,,,2020-09-05 10:24:41
17,9,20170135,1,9.0,1.0,,,,,2020-09-05 10:25:01
18,9,20104091,11,0.0,,,,,,2020-09-05 10:25:19
19,9,20161341,14,0.0,,,,,,2020-09-05 10:25:34
20,9,20161932,15,0.0,,,,,,2020-09-05 10:25:56
21,9,20152986,14,0.0,,,,,,2020-09-05 10:26:07
22,9,20132788,13,0.0,3.0,,,,,2020-09-05 10:26:59
23,9,20160384,1,9.0,1.0,,,,,2020-09-05 10:27:31
24,9,20180335,2,9.0,1.0,,49.0,2.0,,2020-09-05 10:28:10
25,9,20143218,1,9.0,,,,,,2020-09-05 10:34:53
26,9,20121930,14,0.0,,,,,,2020-09-05 10:35:11
27,9,20172013,1,9.0,,,,,,2020-09-05 10:35:26
28,9,20102471,14,0.0,,,,,,2020-09-05 10:35:43
29,9,20151934,15,0.0,,,,,,2020-09-05 10:36:22
30,9,20172386,1,9.0,,,,,,2020-09-05 10:36:33
31,9,20161972,1,9.0,,,,,,2020-09-05 10:43:33
32,9,20161285,14,0.0,,,,,,2020-09-05 10:43:46
33,9,20172477,1,9.0,,,,,,2020-09-05 10:44:02
34,9,20151747,1,9.0,,,,,,2020-09-05 10:44:13
35,9,20170766,1,9.0,,,,,,2020-09-05 10:44:25
36,9,20161301,2,9.0,,,39.0,3.0,Galloped 3F (Easy),2020-09-05 10:45:28
37,9,20150295,1,9.0,,,,,,2020-09-05 10:45:40
38,9,20132011,1,8.0,,,,,,2020-09-05 10:46:10
39,9,20161730,1,8.0,,,,,,2020-09-05 10:46:25
40,9,20172593,2,9.0,,,47.0,0.0,Galloped 4F,2020-09-05 10:47:03
41,9,20130739,14,0.0,,,,,,2020-09-05 10:47:15
42,9,20161654,1,9.0,,,,,,2020-09-05 10:47:27
43,9,20170786,1,9.0,,,,,,2020-09-05 10:47:43
44,9,20170211,1,9.0,,,,,,2020-09-05 10:47:57
45,9,20141310,1,9.0,,,,,,2020-09-05 10:48:08
46,9,20161225,4,0.0,,,,,,2020-09-05 10:48:22
47,9,20162484,1,9.0,,,,,,2020-09-05 10:48:38
48,9,20170908,1,9.0,,,,,,2020-09-05 10:48:53
