Id,WorkoutId,HorseId,WorkoutTypeId,Distance,WorkoutDistanceTypeId,Minutes,Seconds,Fifths,Comment,CreatedAt
130415,912,20192680,24,0.0,,,,,,2023-03-18 17:02:07
130416,912,20170695,24,0.0,,,,,,2023-03-18 17:02:24
130417,912,20201064,14,0.0,,,,,,2023-03-18 17:02:42
130418,912,20190691,21,5.0,3.0,1.0,1.0,2.0,"RRIDDEN, 1ST. 4F 470",2023-03-18 17:03:43
130419,912,20191198,25,0.0,,,,,,2023-03-18 17:04:00
130420,912,20201231,2,6.0,,1.0,22.0,,,2023-03-18 17:04:36
130421,912,20191769,2,4.0,3.0,,48.0,2.0,RIDDEN WITH POSING ALREADY,2023-03-18 17:05:49
130422,912,20190191,2,4.0,,,48.0,,RIDDEN WITH RANI BANGALA,2023-03-18 17:06:41
130423,912,20200865,24,0.0,,,,,,2023-03-18 17:07:21
130424,912,20172826,24,0.0,,,,,,2023-03-18 17:07:51
130425,912,20182046,14,0.0,,,,,,2023-03-18 17:08:07
130426,912,20192064,21,5.0,3.0,1.0,1.0,4.0,"RIDDEN, 1ST. 4F 470",2023-03-18 17:08:56
130427,912,20202627,14,0.0,,,,,,2023-03-18 17:09:28
130428,912,20201468,24,0.0,,,,,,2023-03-18 17:10:00
130429,912,20190459,24,0.0,,,,,,2023-03-18 17:10:31
130430,912,20200214,24,0.0,,,,,,2023-03-18 17:11:07
130431,912,20201362,24,0.0,,,,,,2023-03-18 17:11:21
130432,912,20160415,24,0.0,,,,,,2023-03-18 17:11:34
130433,912,20200845,24,0.0,,,,,,2023-03-18 17:14:48
130434,912,20190808,2,3.0,3.0,,36.0,3.0,RIDDEN,2023-03-18 17:15:28
130435,912,20192857,2,7.0,1.0,1.0,31.0,4.0,,2023-03-18 17:15:57
130436,912,20191916,14,0.0,,,,,,2023-03-18 17:16:32
130437,912,20132662,14,0.0,,,,,,2023-03-18 17:16:51
130438,912,20191941,24,0.0,,,,,,2023-03-18 17:17:03
130439,912,20170099,6,5.0,,1.0,0.0,3.0,RIDDEN,2023-03-18 17:17:40
130440,912,20200623,2,5.5,,1.0,7.0,2.0,"RIDDEN, LAST 5F 1012",2023-03-18 17:18:29
130441,912,20201519,2,6.0,,1.0,23.0,,,2023-03-18 17:19:00
130442,912,20200441,24,0.0,,,,,,2023-03-18 17:19:16
130443,912,20191567,24,0.0,,,,,,2023-03-18 17:19:29
130444,912,20202834,24,0.0,,,,,,2023-03-18 17:19:47
130445,912,20192791,2,3.0,3.0,,37.0,0.0,,2023-03-18 17:20:30
130446,912,20202223,2,5.5,,1.0,10.0,3.0,"RIDDEN, LAST 5F 1041",2023-03-18 17:21:18
130447,912,20170135,24,0.0,,,,,,2023-03-18 17:21:30
130448,912,20202763,14,0.0,,,,,,2023-03-18 17:21:44
130449,912,20202889,24,0.0,,,,,,2023-03-18 17:21:56
130450,912,20181978,24,0.0,,,,,,2023-03-18 17:22:12
130451,912,20190126,2,5.5,,1.0,9.0,2.0,"RIDDEN, LAST 5F 1022",2023-03-18 17:23:15
130452,912,20192084,24,0.0,,,,,,2023-03-18 17:23:30
130453,912,20190535,2,4.0,,,54.0,,,2023-03-18 17:23:58
130454,912,20201579,1,0.0,1.0,,,,,2023-03-18 17:24:19
130455,912,20201897,4,0.0,,,,,,2023-03-18 17:24:35
130456,912,20151636,24,0.0,,,,,,2023-03-18 17:25:13
130457,912,20181261,22,0.0,,,,,,2023-03-18 17:25:27
130458,912,20202687,24,0.0,,,,,,2023-03-18 17:25:46
130459,912,20192599,24,0.0,,,,,,2023-03-18 17:25:59
130460,912,20151489,24,0.0,,,,,,2023-03-18 17:26:18
130461,912,20202298,24,0.0,,,,,,2023-03-18 17:26:29
130462,912,20170291,14,0.0,,,,,,2023-03-18 17:26:46
130463,912,20181963,2,4.0,,,48.0,,RIDDEN,2023-03-18 17:27:12
130464,912,20203371,2,3.0,,,36.0,4.0,RIDDEN,2023-03-18 17:27:44
130465,912,20183038,2,3.0,3.0,,36.0,3.0,RIDDEN,2023-03-18 17:28:26
130466,912,20202930,24,0.0,,,,,,2023-03-18 17:28:50
130467,912,20180113,24,0.0,,,,,,2023-03-18 17:29:09
130468,912,20151116,14,0.0,,,,,,2023-03-18 17:29:22
