Id,Name,Description,IsEnabled,CreatedAt
1,Excercise - Sea,,1,2020-07-20 06:12:02
2,Therapeutic - Sea,,1,2020-07-20 06:12:02
3,Therapeutic - Pasture,,1,2020-07-20 06:12:02
4,Put out to stud,,1,2020-07-20 06:12:02
5,Retirement,,1,2020-07-20 06:12:02
6,Death,,1,2020-07-20 06:12:02
