Id,Name,CountryBredId,ColorId,IsEnabled,CreatedAt
19410078,TRIPLICATE,,8.0,1,2020-09-15 06:25:43
19410770,BOB HOPE,,,1,2020-09-15 06:25:43
19410972,GOLDEN CLOUD (GB),,9.0,1,2020-09-15 06:25:43
19413019,MERRY MARK,,,1,2020-09-15 06:25:43
19420056,ROYAL CHARGER,,8.0,1,2020-09-15 06:25:43
19420076,ERRARD,,,1,2020-09-15 06:25:43
19420096,POLYNESIAN,,,1,2020-09-15 06:25:43
19420112,BROOKFIELD,,1.0,1,2020-09-15 06:25:43
19420152,CHAMOSSAIRE,,8.0,1,2020-09-15 06:25:43
19420172,BROADCASTER,,8.0,1,2020-09-15 06:25:43
19422030,NED CANRON,,1.0,1,2020-09-15 06:25:43
19423017,COURT MARTIAL,,1.0,1,2020-09-15 06:25:43
19423037,COMO,,,1,2020-09-15 06:25:43
19423057,BOOMERANG,,,1,2020-09-15 06:25:43
19430014,VILMORIN,,9.0,1,2020-09-15 06:25:43
19430034,ARILOU,,8.0,1,2020-09-15 06:25:43
19430054,MASSIF,,,1,2020-09-15 06:25:43
19430074,KHALED,,,1,2020-09-15 06:25:43
19430110,MARAJ KUMAR,,8.0,1,2020-09-15 06:25:43
19433015,AIR HERO,,,1,2020-09-15 06:25:43
19433035,LOVE SONNET,,,1,2020-09-15 06:25:43
19440012,PETITION,,,1,2020-09-15 06:25:43
19440032,IMPECCABLE II,,9.0,1,2020-09-15 06:25:43
19440052,MIGOLI,,,1,2020-09-15 06:25:43
19440072,SUNNY BOY,,8.0,1,2020-09-15 06:25:43
19440092,TENERANI,,1.0,1,2020-09-15 06:25:43
19440118,COSMIC BOMB,,,1,2020-09-15 06:25:43
19440138,JET PILOT,,8.0,1,2020-09-15 06:25:43
19440254,TUDOR MINSTREL,,,1,2020-09-15 06:25:43
19443013,DOUBLE JAY,,8.0,1,2020-09-15 06:25:43
19443033,FALLS OF CLYDE,,,1,2020-09-15 06:25:43
19443053,SOLERO,,,1,2020-09-15 06:25:43
19443073,MURANO,,,1,2020-09-15 06:25:43
19450010,SAGGY,,8.0,1,2020-09-15 06:25:43
19450030,ANDYS GLORY,,,1,2020-09-15 06:25:43
19450050,SWEDAK,,,1,2020-09-15 06:25:43
19450070,ALYCIDON II,,8.0,1,2020-09-15 06:25:43
19450090,BABUR,,,1,2020-09-15 06:25:43
19450116,MOUNT MERCY,,8.0,1,2020-09-15 06:25:43
19450136,RELIC,,,1,2020-09-15 06:25:43
19450156,VOLCANIC,,1.0,1,2020-09-15 06:25:43
19450176,DJEDDAH,,8.0,1,2020-09-15 06:25:43
19450494,CITATION,,9.0,1,2020-09-15 06:25:43
19460018,ABERNANT,,9.0,1,2020-09-15 06:25:43
19460038,SPORT PAGE,,8.0,1,2020-09-15 06:25:43
19460058,MR. BUSHER,,8.0,1,2020-09-15 06:25:43
19460078,OLYMPIA,,,1,2020-09-15 06:25:43
19460098,AMBIORIX,,1.0,1,2020-09-15 06:25:43
19460114,COLONIST,,8.0,1,2020-09-15 06:25:43
19460134,PONDER,,,1,2020-09-15 06:25:43
19462210,PERSONAL POWER,,,1,2020-09-15 06:25:43
19463019,DOUBLE BRANDY,,9.0,1,2020-09-15 06:25:43
19463039,PALESTINIAN,,,1,2020-09-15 06:25:43
19463059,JOHNS JOY,,,1,2020-09-15 06:25:43
19463079,KRAKATAO,,,1,2020-09-15 06:25:43
19463115,BOLERO U.,,,1,2020-09-15 06:25:43
19470016,MOSSBOROUGH,,8.0,1,2020-09-15 06:25:43
19470036,SHEILAS REWARD,,8.0,1,2020-09-15 06:25:43
19470056,GREEK SONG,,1.0,1,2020-09-15 06:25:43
19470430,PARDAL BAY,,,1,2020-09-15 06:25:43
19470894,JET FLIGHT,,,1,2020-09-15 06:25:43
19471637,CALL OVER,,8.0,1,2020-09-15 06:25:43
19473017,HELIODORUS,,,1,2020-09-15 06:25:43
19473037,COUNTY DELIGHT,,1.0,1,2020-09-15 06:25:43
19473057,IMPUDENT,,1.0,1,2020-09-15 06:25:43
19473077,NUAGE DORE,,,1,2020-09-15 06:25:43
19480034,HAMPDEN FOREST,,,1,2020-09-15 06:25:43
19480054,ALERTED,,1.0,1,2020-09-15 06:25:43
19480074,GREY SOVEREIGN,,9.0,1,2020-09-15 06:25:43
19480094,ROUGH'N TUMBLE,,1.0,1,2020-09-15 06:25:43
19480110,ARISTOPHANES,,8.0,1,2020-09-15 06:25:43
