Id,JrcId,HasMicrochip,Microchip,MicrochipType,BreederId,OwnerId,TrainerId,SireId,DamId,Name,Type,IsTattooed,IsImported,CountryBredId,Gender,ColorId,IsTurnedOut,IsEnabled,IsRegistered,FoaledAt,RegisteredAt,LastRacedAt,LastWorkedOutAt,CreatedAt
19340033,,False,,0,,,,,,PETROSE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:42
19340073,,False,,0,,,,,,CASE ACE,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:42
19340093,,False,,0,,,,,,WAR ADMIRAL,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:42
19343014,,False,,0,,,,,,REAPING REWARD,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19350011,,False,,0,,,,,,NEARCO,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19350031,,False,,0,,,,,,MENOW,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19350051,,False,,0,,,,,,UNBREAKABLE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19350071,,False,,0,,,,,,FIGHTING FOX,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19350150,,False,,0,,,,,,SWEEPING TIDE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19350399,,False,,0,,,,,,BULL LEA,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19360039,,False,,0,,,,,,HIS HIGHNESS,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19360059,,False,,0,,,,,,HELIOPOLIS,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19360079,,False,,0,,,,,,JOHNSTOWN,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19363010,,False,,0,,,,,,HELIOSCOPE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19370037,,False,,0,,,,,,BON AMIS,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19370057,,False,,0,,,,,,ROMAN,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19370077,,False,,0,,,,,,WILD CHICLE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19370097,,False,,0,,,,,,DENTURIUS,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19370113,,False,,0,,,,,,BONAMIS,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19373018,,False,,0,,,,,,BIMELECH,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19373038,,False,,0,,,,,,STARDUST,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19380035,,False,,0,,,,,,APOLLO,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19380054,,False,,0,,,,,,AVENGER,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19380055,,False,,0,,,,,,C.P.J,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19380075,,False,,0,,,,,,OWEN TUDOR,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19380095,,False,,0,,,,,,THE RHYMER,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19380111,,False,,0,,,,,,ORTHODOX,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19380131,,False,,0,,,,,,ALIBHAI,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19380151,,False,,0,,,,,,WAR RELIC,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19380171,,False,,0,,,,,,ATTENTION,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19390033,,False,,0,,,,,,DEVIL DIVER,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19390053,,False,,0,,,,,,ARCO,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19390073,,False,,0,,,,,,REQUESTED,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19390093,,False,,0,,,,,,SHUT OUT,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19390119,,False,,0,,,,,,ALSAB,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19391318,,False,,0,,,,,,SUN KING,0,0,0,,5,,0,1,0,,,,,2022-10-15 16:55:25
19393014,,False,,0,,,,,,BERNBOROUGH,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19400010,,False,,0,,,,,,HASTEVILLE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19400030,,False,,0,,,,,,WHIRLAWAY,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19400050,,False,,0,,,,,,PRINCE QUILLO,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19400070,,False,,0,,,,,,KIOWA CHIEF,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19400136,,False,,0,,,,,,ESPADIN,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19400176,,False,,0,,,,,,ALQUEST,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19400196,,False,,0,,,,,,PRINCEQUILLO,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19400212,,False,,0,,,,,,COUNT FLEET,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19400232,,False,,0,,,,,,WILD RISK,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19400252,,False,,0,,,,,,ADVOCATE (GB),0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19400414,,False,,0,,,,,,NASRULLAH,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19403011,,False,,0,,,,,,FAIR TIP,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19410058,,False,,0,,,,,,BOREALIS,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19410078,,False,,0,,,,,,TRIPLICATE,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19410770,,False,,0,,,,,,BOB HOPE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19410972,,False,,0,,,,,,GOLDEN CLOUD (GB),0,0,0,,5,9.0,0,1,0,,,,,2020-09-15 06:25:43
19413019,,False,,0,,,,,,MERRY MARK,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19420056,,False,,0,,,,,,ROYAL CHARGER,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19420076,,False,,0,,,,,,ERRARD,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19420096,,False,,0,,,,,,POLYNESIAN,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19420112,,False,,0,,,,,,BROOKFIELD,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19420152,,False,,0,,,,,,CHAMOSSAIRE,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19420172,,False,,0,,,,,,BROADCASTER,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19422030,,False,,0,,,,,,NED CANRON,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19423017,,False,,0,,,,,,COURT MARTIAL,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19423037,,False,,0,,,,,,COMO,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19423057,,False,,0,,,,,,BOOMERANG,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19430014,,False,,0,,,,,,VILMORIN,0,0,0,,5,9.0,0,1,0,,,,,2020-09-15 06:25:43
19430034,,False,,0,,,,,,ARILOU,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19430054,,False,,0,,,,,,MASSIF,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19430074,,False,,0,,,,,,KHALED,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19430110,,False,,0,,,,,,MARAJ KUMAR,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19433015,,False,,0,,,,,,AIR HERO,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19433035,,False,,0,,,,,,LOVE SONNET,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19440012,,False,,0,,,,,,PETITION,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19440032,,False,,0,,,,,,IMPECCABLE II,0,0,0,,5,9.0,0,1,0,,,,,2020-09-15 06:25:43
19440052,,False,,0,,,,,,MIGOLI,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19440072,,False,,0,,,,,,SUNNY BOY,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19440092,,False,,0,,,,,,TENERANI,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19440118,,False,,0,,,,,,COSMIC BOMB,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19440138,,False,,0,,,,,,JET PILOT,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19440254,,False,,0,,,,,,TUDOR MINSTREL,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19443013,,False,,0,,,,,,DOUBLE JAY,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19443033,,False,,0,,,,,,FALLS OF CLYDE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19443053,,False,,0,,,,,,SOLERO,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19443073,,False,,0,,,,,,MURANO,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19450010,,False,,0,,,,,,SAGGY,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19450030,,False,,0,,,,,,ANDYS GLORY,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19450050,,False,,0,,,,,,SWEDAK,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19450070,,False,,0,,,,,,ALYCIDON II,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19450090,,False,,0,,,,,,BABUR,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19450116,,False,,0,,,,,,MOUNT MERCY,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19450136,,False,,0,,,,,,RELIC,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19450156,,False,,0,,,,,,VOLCANIC,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19450176,,False,,0,,,,,,DJEDDAH,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19450494,,False,,0,,,,,,CITATION,0,0,0,,5,9.0,0,1,0,,,,,2020-09-15 06:25:43
19460018,,False,,0,,,,,,ABERNANT,0,0,0,,5,9.0,0,1,0,,,,,2020-09-15 06:25:43
19460038,,False,,0,,,,,,SPORT PAGE,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19460058,,False,,0,,,,,,MR. BUSHER,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19460078,,False,,0,,,,,,OLYMPIA,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19460098,,False,,0,,,,,,AMBIORIX,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19460114,,False,,0,,,,,,COLONIST,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19460134,,False,,0,,,,,,PONDER,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19462210,,False,,0,,,,,,PERSONAL POWER,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19463019,,False,,0,,,,,,DOUBLE BRANDY,0,0,0,,5,9.0,0,1,0,,,,,2020-09-15 06:25:43
19463039,,False,,0,,,,,,PALESTINIAN,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19463059,,False,,0,,,,,,JOHNS JOY,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19463079,,False,,0,,,,,,KRAKATAO,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19463115,,False,,0,,,,,,BOLERO U.,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19470016,,False,,0,,,,,,MOSSBOROUGH,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19470036,,False,,0,,,,,,SHEILAS REWARD,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19470056,,False,,0,,,,,,GREEK SONG,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19470430,,False,,0,,,,,,PARDAL BAY,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19470894,,False,,0,,,,,,JET FLIGHT,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19471637,,False,,0,,,,,,CALL OVER,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19473017,,False,,0,,,,,,HELIODORUS,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19473037,,False,,0,,,,,,COUNTY DELIGHT,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19473057,,False,,0,,,,,,IMPUDENT,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19473077,,False,,0,,,,,,NUAGE DORE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19480034,,False,,0,,,,,,HAMPDEN FOREST,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19480054,,False,,0,,,,,,ALERTED,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19480074,,False,,0,,,,,,GREY SOVEREIGN,0,0,0,,5,9.0,0,1,0,,,,,2020-09-15 06:25:43
19480094,,False,,0,,,,,,ROUGH'N TUMBLE,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19480110,,False,,0,,,,,,ARISTOPHANES,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19480130,,False,,0,,,,,,TO MARKET,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19480150,,False,,0,,,,,,CRAFTY ADMIRAL,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19480170,,False,,0,,,,,,FAIR PLAY,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19480190,,False,,0,,,,,,ANYOLDTIME,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19480216,,False,,0,,,,,,NYANGAL,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19481475,,False,,0,,,,,,PET BULLY,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19481975,,False,,0,,,,,,ICEBERG II,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19483015,,False,,0,,,,,,BY FIVE,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19483035,,False,,0,,,,,,ROUGH 'N' TUMBLE,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19483055,,False,,0,,,,,,INTENT,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19483075,,False,,0,,,,,,BATTLEFIELD,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19485019,,False,,0,,,,,,DELIRIUM,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19486016,,False,,0,,,,,,MAMELUKE,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19486056,,False,,0,,,,,,HARD SAUCE,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19486096,,False,,0,,,,,,HAM BONE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19486132,,False,,0,,,,,,ROMAN PICTURE,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19486172,,False,,0,,,,,,GOLD NOTE,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19486394,,False,,0,,,,,,WOODCHUCK,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19486490,,False,,0,,,,,,BORDER LEGEND,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19486632,,False,,0,,,,,,ROMMEL,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19490032,,False,,0,,,,,,THE PHOENIX,0,0,0,,5,8.0,0,1,0,,,,,2020-09-15 06:25:43
19490052,,False,,0,,,,,,INDIAN HEMP,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19490072,,False,,0,,,,,,LORD PRIAM,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19490092,,False,,0,,,,,,HILL GAIL,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19490118,,False,,0,,,,,,WINDY CITY 2ND,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19490138,,False,,0,,,,,,TOM FOOL,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19490352,,False,,0,,,,,,COCK OF THE NORTH,0,0,0,,5,1.0,0,1,0,,,,,2020-09-15 06:25:43
19490390,,False,,0,,,,,,RUSHWIND,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19490532,,False,,0,,,,,,FAUBOURG II,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
19490794,,False,,0,,,,,,TULYAR,0,0,0,,5,,0,1,0,,,,,2020-09-15 06:25:43
