Id,HorseId,VaccinationCertificateNumber,VaccinationBatchNumber,comment,VetId,VaccinatedAt,CreatedAt
265417,20160208,,,,38,2023-11-12,2024-09-26 10:28:19
265418,20170160,,,,38,2024-08-10,2024-09-26 10:28:19
265419,20142973,,,,38,2023-04-20,2024-09-26 10:28:19
265420,20201706,,,,38,2024-04-07,2024-09-26 10:28:19
265421,20181756,,,,38,2024-05-31,2024-09-26 10:28:19
265422,20142655,,,,38,2023-10-02,2024-09-26 10:28:20
265423,20192079,,,,38,2022-12-12,2024-09-26 10:28:20
265424,20180724,,,,38,2024-08-04,2024-09-26 10:28:20
265425,20191810,,,,38,2024-07-24,2024-09-26 10:28:20
265426,20211153,,,,38,2024-09-20,2024-09-26 10:28:20
265427,20193132,,,,38,2024-08-04,2024-09-26 10:28:20
265428,20142493,,,,38,2023-09-29,2024-09-26 10:28:20
265429,20192726,,,,38,2024-06-01,2024-09-26 10:28:20
265430,20202192,,,,38,2024-02-02,2024-09-26 10:28:21
265431,20212630,,,,38,2024-06-01,2024-09-26 10:28:21
265432,20192039,,,,38,2024-06-01,2024-09-26 10:28:21
265433,20212610,,,,38,2024-06-01,2024-09-26 10:28:21
265434,20200496,,,,38,2024-06-01,2024-09-26 10:28:21
265435,20211446,,,,38,2024-06-01,2024-09-26 10:28:21
265436,20191658,,,,38,2024-06-01,2024-09-26 10:28:21
265437,20191087,,,,38,2021-10-01,2024-09-26 10:28:22
265438,20192468,,,,38,2023-10-02,2024-09-26 10:28:22
265439,20192251,,,,38,2024-06-01,2024-09-26 10:28:22
265440,20203053,,,,38,2024-06-01,2024-09-26 10:28:22
265441,20210085,,,,38,2024-07-27,2024-09-26 10:28:22
265442,20201180,,,,38,2024-03-07,2024-09-26 10:28:22
265443,20210030,,,,38,2024-07-27,2024-09-26 10:28:22
265444,20172391,,,,38,2024-06-09,2024-09-26 10:28:23
265445,20200592,,,,38,2024-06-06,2024-09-26 10:28:23
265446,20192317,,,,38,2024-05-25,2024-09-26 10:28:23
265447,20160415,,,,38,2023-10-08,2024-09-26 10:28:23
265448,20212094,,,,38,2024-08-24,2024-09-26 10:28:23
265449,20142175,,,,38,2024-05-29,2024-09-26 10:28:23
265450,20172902,,,,38,2024-09-08,2024-09-26 10:28:23
265451,20190353,,,,38,2024-09-21,2024-09-26 10:28:24
265452,20201231,,,,38,2024-06-16,2024-09-26 10:28:24
265453,20210621,,,,38,2024-08-08,2024-09-26 10:28:24
265454,20172528,,,,38,2023-04-10,2024-09-26 10:28:24
265455,20192246,,,,38,2024-01-20,2024-09-26 10:28:24
265456,20171814,,,,38,2024-01-20,2024-09-26 10:28:24
265457,20222623,,,,38,2024-09-21,2024-09-26 10:28:24
265458,20172937,,,,38,2024-05-20,2024-09-26 10:28:24
265459,20211320,,,,38,2024-08-06,2024-09-26 10:28:25
265460,20200683,,,,38,2023-09-23,2024-09-26 10:28:25
265461,20211173,,,,38,2024-08-06,2024-09-26 10:28:25
265462,20192584,,,,38,2024-08-12,2024-09-26 10:28:25
265463,20200885,,,,38,2023-09-23,2024-09-26 10:28:25
265464,20202298,,,,38,2023-04-30,2024-09-26 10:28:25
265465,20211380,,,,38,2024-08-06,2024-09-26 10:28:25
265466,20200865,,,,38,2024-09-03,2024-09-26 10:28:25
265467,20181958,,,,38,2024-06-08,2024-09-26 10:28:26
265468,20182117,,,,38,2023-10-23,2024-09-26 10:28:26
265469,20162702,,,,38,2023-03-18,2024-09-26 10:28:26
265470,20170559,,,,38,2023-06-11,2024-09-26 10:28:26
265471,20142559,,,,38,2023-01-17,2024-09-26 10:28:26
265472,20160662,,,,38,2022-10-15,2024-09-26 10:28:26
265473,20162611,,,,38,2024-03-25,2024-09-26 10:28:26
265474,20181054,,,,38,2024-06-02,2024-09-26 10:28:27
265475,20210525,,,,38,2024-06-01,2024-09-26 10:28:27
265476,20220245,,,,38,2024-06-01,2024-09-26 10:28:27
265477,20210136,,,,38,2024-06-01,2024-09-26 10:28:27
265478,20180017,,,,38,2023-06-05,2024-09-26 10:28:27
265479,20210434,,,,38,2023-10-02,2024-09-26 10:28:27
265480,20200163,,,,38,2024-06-01,2024-09-26 10:28:27
265481,20211219,,,,38,2024-06-01,2024-09-26 10:28:28
265482,20210116,,,,38,2024-06-01,2024-09-26 10:28:28
265483,20210303,,,,38,2024-06-01,2024-09-26 10:28:28
265484,20212554,,,,38,2024-06-01,2024-09-26 10:28:28
265485,20210207,,,,38,2024-06-01,2024-09-26 10:28:28
265486,20211113,,,,38,2024-06-01,2024-09-26 10:28:28
265487,20210181,,,,38,2024-02-02,2024-09-26 10:28:28
265488,20172811,,,,38,2024-06-01,2024-09-26 10:28:29
265489,20202309,,,,38,2024-06-01,2024-09-26 10:28:29
265490,20210590,,,,38,2024-02-02,2024-09-26 10:28:29
265491,20203311,,,,38,2024-06-01,2024-09-26 10:28:29
265492,20212574,,,,38,2024-06-01,2024-09-26 10:28:29
265493,20202223,,,,38,2023-02-05,2024-09-26 10:28:29
265494,20220230,,,,38,2024-06-01,2024-09-26 10:28:29
265495,20180466,,,,38,2024-02-02,2024-09-26 10:28:30
265496,20210489,,,,38,2024-06-01,2024-09-26 10:28:30
265497,20210545,,,,38,2024-06-01,2024-09-26 10:28:30
265498,20103372,,,,38,2022-10-09,2024-09-26 10:28:30
265499,20183038,,,,38,2024-06-01,2024-09-26 10:28:30
265500,20182546,,,,38,2023-02-05,2024-09-26 10:28:30
265501,20210176,,,,38,2024-06-01,2024-09-26 10:28:30
265502,20203295,,,,38,2024-06-01,2024-09-26 10:28:31
265503,20170099,,,,38,2023-10-02,2024-09-26 10:28:31
265504,20221262,,,,38,2024-06-01,2024-09-26 10:28:31
265505,20210025,,,,38,2024-06-01,2024-09-26 10:28:31
265506,20192640,,,,38,2024-02-02,2024-09-26 10:28:31
265507,20182708,,,,38,2023-10-02,2024-09-26 10:28:31
265508,20192680,,,,38,2024-06-01,2024-09-26 10:28:31
265509,20171783,,,,38,2022-09-28,2024-09-26 10:28:31
265510,20200623,,,,38,2024-06-01,2024-09-26 10:28:32
265511,20180173,,,,38,2023-10-02,2024-09-26 10:28:32
265512,20220927,,,,38,2024-06-01,2024-09-26 10:28:32
265513,20200214,,,,38,2024-02-02,2024-09-26 10:28:32
265514,20212807,,,,38,2024-06-01,2024-09-26 10:28:32
265515,20200572,,,,38,2023-06-05,2024-09-26 10:28:32
