Id,HorseId,VaccinationCertificateNumber,VaccinationBatchNumber,comment,VetId,VaccinatedAt,CreatedAt
204534,20181701,,,,38,2022-02-27,2023-08-24 10:02:35
204535,20151454,,,,38,2023-05-01,2023-08-24 10:02:35
204536,20192397,,,,38,2023-06-05,2023-08-24 10:02:35
204537,20182642,,,,38,2022-10-08,2023-08-24 10:02:35
204538,20192504,,,,38,2023-03-12,2023-08-24 10:02:35
204539,20181443,,,,38,2023-06-11,2023-08-24 10:02:36
204540,20180320,,,,38,2023-02-26,2023-08-24 10:02:36
204541,20180471,,,,38,2023-05-29,2023-08-24 10:02:36
204542,20142711,,,,38,2022-07-12,2023-08-24 10:02:36
204543,20142802,,,,38,2023-07-11,2023-08-24 10:02:36
204544,20201100,,,,38,2023-06-17,2023-08-24 10:02:36
204545,20161098,,,,38,2023-05-18,2023-08-24 10:02:36
204546,20202556,,,,38,2023-06-08,2023-08-24 10:02:36
204547,20121430,,,,38,2021-12-20,2023-08-24 10:02:37
204548,20162717,,,,38,2022-06-18,2023-08-24 10:02:37
204549,20200916,,,,38,2023-06-10,2023-08-24 10:02:37
204550,20151636,,,,38,2023-05-27,2023-08-24 10:02:37
204551,20150073,,,,38,2023-05-29,2023-08-24 10:02:37
204552,20120059,,,,38,2023-04-21,2023-08-24 10:02:37
204553,20180744,,,,38,2023-04-30,2023-08-24 10:02:37
204554,20151489,,,,38,2023-06-30,2023-08-24 10:02:37
204555,20172346,,,,38,2023-07-08,2023-08-24 10:02:37
204556,20193152,,,,38,2023-05-21,2023-08-24 10:02:37
204557,20172619,,,,38,2023-07-08,2023-08-24 10:02:38
204558,20192206,,,,38,2023-07-29,2023-08-24 10:02:38
204559,20181110,,,,38,2023-07-08,2023-08-24 10:02:38
204560,20181130,,,,38,2023-03-06,2023-08-24 10:02:38
204561,20173045,,,,38,2023-04-08,2023-08-24 10:02:38
204562,20182213,,,,38,2023-04-08,2023-08-24 10:02:38
204563,20201988,,,,38,2023-08-12,2023-08-24 10:02:38
204564,20181645,,,,38,2023-05-12,2023-08-24 10:02:38
204565,20170822,,,,38,2022-10-29,2023-08-24 10:02:38
204566,20170408,,,,38,2022-10-09,2023-08-24 10:02:38
204567,20191032,,,,38,2023-06-04,2023-08-24 10:02:39
