Id,HorseId,VaccinationCertificateNumber,VaccinationBatchNumber,comment,VetId,VaccinatedAt,CreatedAt
50002,20160844,,,,9,2021-02-08,2021-05-21 08:03:45
50003,20170140,,,,9,2021-04-20,2021-05-21 08:03:45
50004,20131094,,,,9,2021-01-16,2021-05-21 08:03:45
50005,20110622,,,,9,2021-02-10,2021-05-21 08:03:45
50006,20161023,,,,9,2021-01-09,2021-05-21 08:03:45
50007,20160400,,,,9,2021-02-10,2021-05-21 08:03:45
50008,20141572,,,,9,2020-10-10,2021-05-21 08:03:45
50009,20162924,,,,9,2020-10-30,2021-05-21 08:03:45
50010,20132253,,,,9,2021-02-02,2021-05-21 08:03:45
50011,20141552,,,,9,2021-01-15,2021-05-21 08:03:45
50012,20160228,,,,9,2020-02-10,2021-05-21 08:03:45
50013,20132677,,,,9,2019-10-20,2021-05-21 08:03:45
50014,20151949,,,,9,2021-04-09,2021-05-21 08:03:45
50015,20151318,,,,9,2021-02-03,2021-05-21 08:03:45
50016,20133250,,,,9,2021-05-05,2021-05-21 08:03:45
50017,20120135,,,,9,2021-01-14,2021-05-21 08:03:45
50018,20112424,,,,9,2020-06-27,2021-05-21 08:03:45
50019,20152264,,,,9,2020-11-10,2021-05-21 08:03:45
50020,20161098,,,,9,2021-04-20,2021-05-21 08:03:45
50021,20163178,,,,9,2020-06-03,2021-05-21 08:03:45
50022,20170620,,,,9,2020-11-02,2021-05-21 08:03:45
50023,20140459,,,,9,2021-04-15,2021-05-21 08:03:45
50024,20131574,,,,9,2021-02-05,2021-05-21 08:03:45
50025,20151636,,,,9,2020-07-04,2021-05-21 08:03:45
50026,20172720,,,,9,2020-11-14,2021-05-21 08:03:45
50027,20181721,,,,9,2021-03-19,2021-05-21 08:03:45
50028,20160697,,,,9,2021-02-10,2021-05-21 08:03:45
50029,20160682,,,,9,2020-10-26,2021-05-21 08:03:46
50030,20161189,,,,9,2021-02-14,2021-05-21 08:03:46
50031,20151489,,,,9,2020-10-28,2021-05-21 08:03:46
50032,20171349,,,,9,2021-05-16,2021-05-21 08:03:46
50033,20171556,,,,9,2021-02-23,2021-05-21 08:03:46
50034,20152673,,,,9,2020-09-29,2021-05-21 08:03:46
50035,20180719,,,,9,2021-04-29,2021-05-21 08:03:46
50036,20182213,,,,9,2021-03-28,2021-05-21 08:03:46
50037,20152820,,,,9,2020-02-03,2021-05-21 08:03:46
50038,20142842,,,,9,2020-09-25,2021-05-21 08:03:46
50039,20162055,,,,9,2020-05-26,2021-05-21 08:03:46
50040,20171809,,,,9,2021-03-28,2021-05-21 08:03:46
50041,20160788,,,,9,2020-11-24,2021-05-21 08:03:46
50042,20143021,,,,9,2019-10-31,2021-05-21 08:03:46
50043,20181443,,,,9,2021-01-29,2021-05-21 08:03:46
50044,20162702,,,,9,2021-01-28,2021-05-21 08:03:46
50045,20141976,,,,9,2021-02-28,2021-05-21 08:03:46
50046,20141547,,,,9,2021-02-17,2021-05-21 08:03:46
50047,20160662,,,,9,2021-02-17,2021-05-21 08:03:46
50048,20161841,,,,9,2020-06-11,2021-05-21 08:03:46
50049,20180991,,,,9,2021-02-10,2021-05-21 08:03:46
