Id,HorseId,VaccinationCertificateNumber,VaccinationBatchNumber,comment,VetId,VaccinatedAt,CreatedAt
60002,20171763,,,,9,2021-04-11,2021-07-15 07:47:20
60003,20161816,,,,9,2021-06-25,2021-07-15 07:47:20
60004,20182364,,,,9,2021-04-16,2021-07-15 07:47:20
60005,20161452,,,,9,2021-01-17,2021-07-15 07:47:20
60006,20172548,,,,9,2021-03-24,2021-07-15 07:47:20
60007,20181438,,,,9,2021-05-01,2021-07-15 07:47:20
60008,20182304,,,,9,2021-04-16,2021-07-15 07:47:20
60009,20182531,,,,9,2021-06-03,2021-07-15 07:47:20
60010,20172351,,,,9,2020-06-08,2021-07-15 07:47:20
60011,20170675,,,,9,2020-11-04,2021-07-15 07:47:20
60012,20180764,,,,9,2021-06-03,2021-07-15 07:47:20
60013,20171485,,,,9,2021-04-10,2021-07-15 07:47:20
60014,20182248,,,,9,2021-01-22,2021-07-15 07:47:20
60015,20181034,,,,9,2021-06-27,2021-07-15 07:47:20
60016,20141936,,,,9,2021-06-23,2021-07-15 07:47:20
60017,20153423,,,,9,2020-01-18,2021-07-15 07:47:20
60018,20150088,,,,9,2020-07-20,2021-07-15 07:47:20
60019,20132359,,,,9,2021-02-21,2021-07-15 07:47:20
60020,20172740,,,,9,2020-09-25,2021-07-15 07:47:20
60021,20152017,,,,9,2019-11-29,2021-07-15 07:47:20
60022,20161245,,,,9,2021-06-05,2021-07-15 07:47:20
60023,20121041,,,,9,2020-06-25,2021-07-15 07:47:20
60024,20171076,,,,9,2021-05-14,2021-07-15 07:47:20
60025,20152835,,,,9,2020-11-05,2021-07-15 07:47:20
60026,20110622,,,,9,2021-02-10,2021-07-15 07:47:20
60027,20162762,,,,9,2021-05-23,2021-07-15 07:47:20
60028,20121410,,,,9,2020-12-15,2021-07-15 07:47:20
60029,20143056,,,,9,2021-05-27,2021-07-15 07:47:20
60030,20162611,,,,9,2021-05-22,2021-07-15 07:47:20
60031,20161558,,,,9,2021-05-18,2021-07-15 07:47:20
60032,20161058,,,,9,2021-04-22,2021-07-15 07:47:20
60033,20131034,,,,9,2021-05-14,2021-07-15 07:47:20
60034,20171718,,,,9,2020-11-07,2021-07-15 07:47:21
60035,20131670,,,,9,2021-02-13,2021-07-15 07:47:21
60036,20122119,,,,9,2019-12-14,2021-07-15 07:47:21
