Id,JrcId,HasMicrochip,Microchip,MicrochipType,BreederId,OwnerId,TrainerId,SireId,DamId,Name,Type,IsTattooed,IsImported,CountryBredId,Gender,ColorId,IsTurnedOut,IsEnabled,IsRegistered,FoaledAt,RegisteredAt,LastRacedAt,LastWorkedOutAt,CreatedAt
22327,,False,,0,,,,,,HILLY'S VISION,1,0,0,,4,,0,1,0,,,,,2021-05-17 07:14:18
41386,,False,,0,,,,,,NO IDENTITY,1,0,0,,4,,0,1,0,,,,,2021-05-17 07:14:18
81020,,False,,0,,,,,,NINA DORADA,1,0,0,,4,,0,1,0,,,,,2021-05-17 07:14:18
100144,,False,,0,,,,,,TURNONTHELIGHT,1,0,0,,4,,0,1,0,,,,,2021-05-17 07:14:18
104900,,False,,0,,,,,,EXCESSIVE FORCE,1,0,0,,4,8.0,0,1,0,,,,,2021-05-17 07:14:18
111881,,False,,0,,,,,,FURTHER AND BEYOND,1,0,0,,4,,0,1,0,,,,,2021-05-17 07:14:18
190020,,False,,0,,,,,,KNOCKANEY BRIDGE,1,0,0,,4,1.0,0,1,0,,,,,2020-09-15 06:26:10
190040,,False,,0,,,,,,SELENE,1,0,0,,4,1.0,0,1,0,,,,,2020-09-15 06:26:10
190060,,False,,0,,,,,,MALVA,1,0,0,,4,1.0,0,1,0,,,,,2020-09-15 06:26:10
190106,,False,,0,,,,,,LADY JUROR,1,0,0,,4,1.0,0,1,0,,,,,2020-09-15 06:26:10
190722,,False,,0,,,,,,GREENSBORO,1,0,0,,4,1.0,0,1,0,,,,,2020-09-15 06:26:10
200027,,False,,0,,,,,,MILFOIL,1,0,0,,4,,0,1,0,,,,,2020-09-15 06:26:28
200047,,False,,0,,,,,,LET HER FLY,1,0,0,,4,1.0,0,1,0,,,,,2020-09-15 06:26:28
200067,,False,,0,,,,,,TERESINA,1,0,0,,4,8.0,0,1,0,,,,,2020-09-15 06:26:28
200087,,False,,0,,,,,,SWEETHEART,1,0,0,,4,8.0,0,1,0,,,,,2020-09-15 06:26:28
201135,,False,,0,,,,,,MOONLIGHT BREW,1,0,0,,4,,0,1,0,,,,,2021-05-17 07:14:36
19210025,,False,,0,,,,,,MUMTAZ MAHAL,1,0,0,,4,9.0,0,1,0,,,,,2020-09-15 06:26:10
