Id,HorseId,VaccinationCertificateNumber,VaccinationBatchNumber,comment,VetId,VaccinatedAt,CreatedAt
80975,20182586,,,,9,2021-03-22,2021-10-27 11:05:29
80976,20150462,,,,9,2019-12-02,2021-10-27 11:05:29
80977,20163269,,,,9,2020-12-02,2021-10-27 11:05:29
80978,20162606,,,,9,2020-04-01,2021-10-27 11:05:29
80979,20171334,,,,9,2021-08-24,2021-10-27 11:05:30
80980,20183114,,,,9,2021-07-24,2021-10-27 11:05:30
80981,20171536,,,,9,2021-08-14,2021-10-27 11:05:30
80982,20171470,,,,9,2021-07-24,2021-10-27 11:05:30
80983,20182844,,,,9,2021-08-24,2021-10-27 11:05:30
80984,20181665,,,,9,2021-10-02,2021-10-27 11:05:30
80985,20162611,,,,9,2021-09-19,2021-10-27 11:05:30
80986,20160637,,,,9,2021-10-02,2021-10-27 11:05:30
80987,20171763,,,,9,2021-07-18,2021-10-27 11:05:30
80988,20161816,,,,9,2021-06-25,2021-10-27 11:05:30
80989,20182364,,,,9,2021-04-16,2021-10-27 11:05:30
80990,20161452,,,,9,2021-09-15,2021-10-27 11:05:30
80991,20172548,,,,9,2021-07-24,2021-10-27 11:05:30
80992,20181438,,,,9,2021-08-25,2021-10-27 11:05:30
80993,20182531,,,,9,2021-10-02,2021-10-27 11:05:30
80994,20170675,,,,9,2020-11-04,2021-10-27 11:05:30
80995,20180764,,,,9,2021-10-01,2021-10-27 11:05:30
80996,20181034,,,,9,2021-06-27,2021-10-27 11:05:30
80997,20171147,,,,9,2021-05-19,2021-10-27 11:05:30
80998,20152259,,,,9,2021-10-16,2021-10-27 11:05:30
80999,20141936,,,,9,2021-06-23,2021-10-27 11:05:30
81000,20153423,,,,9,2020-01-18,2021-10-27 11:05:30
81001,20172255,,,,9,2021-06-04,2021-10-27 11:05:30
81002,20150088,,,,9,2020-07-20,2021-10-27 11:05:30
81003,20172740,,,,9,2020-09-25,2021-10-27 11:05:30
81004,20161134,,,,9,2021-08-10,2021-10-27 11:05:30
81005,20152017,,,,9,2019-11-29,2021-10-27 11:05:30
81006,20150568,,,,9,2021-09-04,2021-10-27 11:05:31
81007,20121041,,,,9,2020-06-25,2021-10-27 11:05:31
81008,20171076,,,,9,2021-05-14,2021-10-27 11:05:31
81009,20152835,,,,9,2021-07-14,2021-10-27 11:05:31
81010,20121410,,,,9,2020-12-15,2021-10-27 11:05:31
81011,20161558,,,,9,2021-09-16,2021-10-27 11:05:31
81012,20153221,,,,9,2021-08-14,2021-10-27 11:05:31
81013,20160844,,,,9,2021-08-14,2021-10-27 11:05:31
81014,20161058,,,,9,2021-08-14,2021-10-27 11:05:31
81015,20131034,,,,9,2021-05-14,2021-10-27 11:05:31
81016,20171718,,,,9,2020-11-07,2021-10-27 11:05:31
81017,20131670,,,,9,2021-02-13,2021-10-27 11:05:31
81018,20160162,,,,9,2021-09-24,2021-10-27 11:05:31
81019,20122119,,,,9,2019-12-14,2021-10-27 11:05:31
81020,20123318,,,,9,2021-07-04,2021-10-27 11:05:31
81021,20142539,,,,9,2021-10-23,2021-10-27 11:05:31
81022,20123292,,,,9,2020-10-28,2021-10-27 11:05:31
81023,20142246,,,,9,2020-09-29,2021-10-27 11:05:31
81024,20142413,,,,9,2020-06-07,2021-10-27 11:05:31
81025,20170039,,,,9,2021-06-16,2021-10-27 11:05:31
81026,20182677,,,,9,2021-06-19,2021-10-27 11:05:31
81027,20141274,,,,9,2021-10-10,2021-10-27 11:05:31
81028,20161967,,,,9,2021-10-20,2021-10-27 11:05:31
81029,20180522,,,,9,2021-07-22,2021-10-27 11:05:31
81030,20190131,,,,9,2021-09-04,2021-10-27 11:05:31
81031,20151045,,,,9,2021-10-15,2021-10-27 11:05:31
81032,20171950,,,,9,2021-08-10,2021-10-27 11:05:32
81033,20152082,,,,9,2019-11-25,2021-10-27 11:05:32
81034,20171485,,,,9,2021-08-08,2021-10-27 11:05:32
81035,20113178,,,,9,2021-07-27,2021-10-27 11:05:32
81036,20113103,,,,9,2019-11-22,2021-10-27 11:05:32
81037,20162368,,,,9,2020-09-20,2021-10-27 11:05:32
81038,20172891,,,,9,2021-06-19,2021-10-27 11:05:32
81039,20172311,,,,9,2020-09-28,2021-10-27 11:05:32
81040,20172386,,,,9,2021-08-14,2021-10-27 11:05:32
81041,20143369,,,,9,2021-05-20,2021-10-27 11:05:32
81042,20152971,,,,9,2020-07-11,2021-10-27 11:05:32
81043,20161730,,,,9,2021-01-20,2021-10-27 11:05:32
81044,20171238,,,,9,2021-04-30,2021-10-27 11:05:32
81045,20180380,,,,9,2021-03-13,2021-10-27 11:05:32
81046,20100831,,,,9,2021-07-27,2021-10-27 11:05:32
81047,20172119,,,,9,2020-10-12,2021-10-27 11:05:32
81048,20181221,,,,9,2021-10-18,2021-10-27 11:05:32
81049,20152219,,,,9,2021-10-20,2021-10-27 11:05:32
81050,20150720,,,,9,2020-10-10,2021-10-27 11:05:32
81051,20170524,,,,9,2021-02-08,2021-10-27 11:05:32
81052,20140919,,,,9,2021-10-20,2021-10-27 11:05:32
81053,20161578,,,,9,2020-09-14,2021-10-27 11:05:32
81054,20152002,,,,9,2020-02-06,2021-10-27 11:05:32
81055,20161230,,,,9,2021-06-16,2021-10-27 11:05:32
81056,20160011,,,,9,2021-08-14,2021-10-27 11:05:32
81057,20140222,,,,9,2021-09-15,2021-10-27 11:05:32
81058,20171985,,,,9,2021-02-08,2021-10-27 11:05:32
81059,20162444,,,,9,2021-08-06,2021-10-27 11:05:33
81060,20151843,,,,9,2020-05-20,2021-10-27 11:05:33
81061,20141890,,,,9,2021-09-20,2021-10-27 11:05:33
81062,20160460,,,,9,2020-10-10,2021-10-27 11:05:33
