Id,HorseId,status,UserId,ChangedAt,CreatedAt
1,20143763,Turned Out,1,2020-09-09 12:00:57,2020-11-26 14:37:02
2,20122346,Turned Out,1,2020-09-09 12:18:11,2020-11-26 14:37:02
3,20131014,Turned Out,1,2020-09-09 12:21:52,2020-11-26 14:37:02
4,20081873,Turned Out,1,2020-09-09 12:23:32,2020-11-26 14:37:02
5,20150866,Turned Out,1,2020-09-09 12:24:50,2020-11-26 14:37:02
6,20172346,Turned Out,1,2020-09-09 12:27:14,2020-11-26 14:37:02
7,20142504,Turned Out,1,2020-09-09 12:31:36,2020-11-26 14:37:02
8,20143763,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:02
9,20122346,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:02
10,20131014,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
11,20081873,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
12,20150866,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
13,20133285,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
14,20142504,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
15,20081813,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
16,20151681,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
17,20161543,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
18,20160864,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
19,20142362,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:03
20,20151727,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:04
21,20171410,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:04
22,20133098,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:04
23,20120726,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:04
24,20161503,Turned Out,1,2020-09-09 00:00:00,2020-11-26 14:37:04
