Id,HorseId,VaccinationCertificateNumber,VaccinationBatchNumber,comment,VetId,VaccinatedAt,CreatedAt
255336,20201680,,,,38,2023-11-11,2024-06-20 10:23:31
255337,20191885,,,,38,2023-11-11,2024-06-20 10:23:31
255338,20190611,,,,38,2024-04-10,2024-06-20 10:23:31
255339,20211188,,,,38,2024-03-16,2024-06-20 10:23:31
255340,20190499,,,,38,2023-11-21,2024-06-20 10:23:32
255341,20202470,,,,38,2024-02-20,2024-06-20 10:23:32
255342,20211037,,,,38,2024-05-12,2024-06-20 10:23:32
255343,20202172,,,,38,2024-03-24,2024-06-20 10:23:32
255344,20190262,,,,38,2024-02-10,2024-06-20 10:23:32
255345,20162737,,,,38,2024-03-30,2024-06-20 10:23:32
255346,20182571,,,,38,2024-05-18,2024-06-20 10:23:32
255347,20153307,,,,38,2023-01-28,2024-06-20 10:23:32
255348,20150886,,,,38,2022-12-17,2024-06-20 10:23:33
255349,20201195,,,,38,2024-02-03,2024-06-20 10:23:33
255350,20171127,,,,38,2024-03-09,2024-06-20 10:23:33
255351,20190797,,,,38,2024-03-02,2024-06-20 10:23:33
255352,20171218,,,,38,2024-03-09,2024-06-20 10:23:33
255353,20200638,,,,38,2024-01-21,2024-06-20 10:23:33
255354,20180446,,,,38,2023-01-06,2024-06-20 10:23:33
255355,20211133,,,,38,2024-03-23,2024-06-20 10:23:34
255356,20161518,,,,38,2023-01-28,2024-06-20 10:23:34
255357,20170726,,,,38,2023-01-16,2024-06-20 10:23:34
255358,20202278,,,,38,2024-03-06,2024-06-20 10:23:34
255359,20170493,,,,38,2023-07-20,2024-06-20 10:23:34
255360,20183078,,,,38,2024-02-18,2024-06-20 10:23:34
255361,20161790,,,,38,2024-04-20,2024-06-20 10:23:34
255362,20190646,,,,38,2023-10-30,2024-06-20 10:23:34
255363,20182415,,,,38,2024-05-11,2024-06-20 10:23:35
255364,20181074,,,,38,2024-05-11,2024-06-20 10:23:35
255365,20182319,,,,38,2024-05-01,2024-06-20 10:23:35
255366,20192342,,,,38,2024-03-25,2024-06-20 10:23:35
255367,20200143,,,,38,2024-02-21,2024-06-20 10:23:35
255368,20153221,,,,38,2022-12-10,2024-06-20 10:23:35
255369,20160839,,,,38,2024-03-18,2024-06-20 10:23:35
255370,20192357,,,,38,2024-03-30,2024-06-20 10:23:36
255371,20191714,,,,38,2023-10-23,2024-06-20 10:23:36
255372,20192266,,,,38,2024-04-08,2024-06-20 10:23:36
255373,20202405,,,,38,2024-05-11,2024-06-20 10:23:36
255374,20172619,,,,38,2024-03-07,2024-06-20 10:23:36
255375,20171258,,,,38,2023-12-27,2024-06-20 10:23:36
255376,20202703,,,,38,2024-02-19,2024-06-20 10:23:36
255377,20190035,,,,38,2023-12-01,2024-06-20 10:23:37
255378,20212458,,,,38,2024-03-02,2024-06-20 10:23:37
255379,20171334,,,,38,2022-12-28,2024-06-20 10:23:37
255380,20203159,,,,38,2024-05-08,2024-06-20 10:23:37
255381,20132788,,,,38,2023-06-22,2024-06-20 10:23:37
255382,20180431,,,,38,2024-05-21,2024-06-20 10:23:37
255383,20190575,,,,38,2024-05-21,2024-06-20 10:23:37
255384,20191274,,,,38,2024-02-02,2024-06-20 10:23:37
255385,20152451,,,,38,2023-05-27,2024-06-20 10:23:38
255386,20201584,,,,38,2024-02-01,2024-06-20 10:23:38
255387,20190075,,,,38,2023-01-28,2024-06-20 10:23:38
255388,20190651,,,,38,2024-05-18,2024-06-20 10:23:38
255389,20191345,,,,38,2024-03-03,2024-06-20 10:23:38
255390,20201433,,,,38,2024-06-09,2024-06-20 10:23:38
255391,20212014,,,,38,2024-03-03,2024-06-20 10:23:38
255392,20182228,,,,38,2023-10-28,2024-06-20 10:23:39
255393,20190626,,,,38,2023-03-12,2024-06-20 10:23:39
255394,20190020,,,,38,2024-04-03,2024-06-20 10:23:39
255395,20212069,,,,38,2024-03-03,2024-06-20 10:23:39
255396,20170211,,,,38,2022-12-22,2024-06-20 10:23:39
255397,20211542,,,,38,2024-02-03,2024-06-20 10:23:39
255398,20211582,,,,38,2024-06-09,2024-06-20 10:23:39
255399,20212049,,,,38,2024-03-03,2024-06-20 10:23:39
255400,20190040,,,,38,2024-03-03,2024-06-20 10:23:40
255401,20202763,,,,38,2024-03-01,2024-06-20 10:23:40
255402,20202758,,,,38,2024-03-03,2024-06-20 10:23:40
255403,20201357,,,,38,2024-03-03,2024-06-20 10:23:40
255404,20130673,,,,38,2024-04-14,2024-06-20 10:23:40
255405,20202152,,,,38,2024-03-17,2024-06-20 10:23:40
255406,20180491,,,,38,2023-08-19,2024-06-20 10:23:40
255407,20191183,,,,38,2024-03-11,2024-06-20 10:23:41
255408,20190691,,,,38,2024-05-20,2024-06-20 10:23:41
255409,20180855,,,,38,2023-03-26,2024-06-20 10:23:41
255410,20180077,,,,38,2023-01-08,2024-06-20 10:23:41
255411,20200774,,,,38,2024-02-27,2024-06-20 10:23:41
255412,20190535,,,,38,2024-03-10,2024-06-20 10:23:41
255413,20160788,,,,38,2024-01-18,2024-06-20 10:23:41
255414,20212403,,,,38,2024-01-07,2024-06-20 10:23:42
255415,20201877,,,,38,2024-05-18,2024-06-20 10:23:42
255416,20201837,,,,38,2024-01-07,2024-06-20 10:23:42
255417,20192120,,,,38,2023-12-01,2024-06-20 10:23:42
255418,20201857,,,,38,2024-01-07,2024-06-20 10:23:42
