HorseId,RaceId,FinishPosition,OriginalPosition,PostPosition,Track,RaceNumber,Equipment,Weight,WinDivision,PlaceDivision,Comment,IsDisqualified,JockeyId,TrainerId,OwnerId,GroomId,ClaimantId,ClaimPrice,ClaimantTrainerId,PreviousRating,Rating,Position1,LenCall1,Position2,LenCall2,Position3,LenCall3,Position4,LenCall4,Lengths,Odds
20161316,20200627-175,1.0,1.0,12,CP,175,L,51.0,0,0,,0,33985,12233,26889,31428,,0.0,,12,0,0,0.0,0,0.0,0,0.0,0,0.0,16.0,*1/9
20161109,20200627-175,2.0,2.0,1,CP,175,&L,52.0,0,0,,0,33132,72698,33733,234,,0.0,,1,0,0,0.0,0,0.0,0,0.0,0,0.0,16.0, 5/1
20161750,20200627-175,3.0,3.0,6,CP,175,TL,55.0,0,0,,0,31827,2760,134025,45,,0.0,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,19.0,13/1
20161790,20200627-175,4.0,4.0,10,CP,175,L,50.5,0,0,,0,33523,3100,76835,2076,,0.0,,10,0,0,0.0,0,0.0,0,0.0,0,0.0,19.8, 7/1
20160304,20200627-175,5.0,5.0,5,CP,175,&L,52.0,0,0,,0,5274,2691,29225,671,,0.0,,5,8,0,0.0,0,0.0,0,0.0,0,0.0,25.3,48/1
20160839,20200627-175,6.0,6.0,8,CP,175,TLV,50.0,0,0,,0,33645,72679,17139,385,,0.0,,8,7,0,0.0,0,0.0,0,0.0,0,0.0,26.3,19/1
20160122,20200627-175,7.0,7.0,7,CP,175,L,52.0,0,0,,0,33074,72713,29623,85,,0.0,,7,10,0,0.0,0,0.0,0,0.0,0,0.0,28.5,42/1
20160697,20200627-175,8.0,8.0,2,CP,175,TCL,54.0,0,0,,0,33806,72718,21895,575,,0.0,,2,5,0,0.0,0,0.0,0,0.0,0,0.0,29.3, 8/1
20163027,20200627-175,9.0,9.0,4,CP,175,V,53.0,0,0,,0,33110,72726,12189,34036,,0.0,,4,11,0,0.0,0,0.0,0,0.0,0,0.0,31.8,88/1
20162060,20200627-175,10.0,10.0,3,CP,175,BL,52.0,0,0,,0,33153,3677,2215,1064,,0.0,,3,0,0,0.0,0,0.0,0,0.0,0,0.0,32.3,55/1
20161003,20200627-175,11.0,11.0,9,CP,175,,55.0,0,0,,0,34077,12004,33909,283,,0.0,,9,0,0,0.0,0,0.0,0,0.0,0,0.0,36.8,99/1
20160662,20200627-175,12.0,12.0,11,CP,175,&C,51.5,0,0,,0,32973,12004,134500,1274,,0.0,,11,7,0,0.0,0,0.0,0,0.0,0,0.0,63.8,99/1
20160602,20200627-176,,0.0,1,CP,176,CL,52.0,0,0,BOLTED,0,33132,15045,133683,101,,0.0,,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20162984,20200627-176,1.0,1.0,3,CP,176,CL,54.5,0,0,,0,5225,3677,34143,1064,,0.0,,3,1,0,0.0,0,0.0,0,0.0,0,0.0,0.3, 9/5
20161987,20200627-176,2.0,2.0,5,CP,176,T&LV,52.5,0,0,,0,5247,3570,33672,34036,,0.0,,5,2,0,0.0,0,0.0,0,0.0,0,0.0,0.3,*2/5
20162075,20200627-176,3.0,3.0,9,CP,176,TCL,54.5,0,0,,0,5238,3360,134151,220,,0.0,,9,0,0,0.0,0,0.0,0,0.0,0,0.0,5.8,15/1
20161967,20200627-176,4.0,4.0,8,CP,176,TCL,51.5,0,0,,0,33747,11964,20530,520,,0.0,,8,3,0,0.0,0,0.0,0,0.0,0,0.0,7.8, 7/1
20161301,20200627-176,5.0,5.0,7,CP,176,B&,51.0,0,0,,0,34068,12719,5996,34116,,0.0,,7,0,0,0.0,0,0.0,0,0.0,0,0.0,12.3,56/1
20161836,20200627-176,6.0,6.0,11,CP,176,,53.0,0,0,,0,33085,12004,76835,1069,,0.0,,11,0,0,0.0,0,0.0,0,0.0,0,0.0,13.0,67/1
20160011,20200627-176,7.0,7.0,6,CP,176,TL,54.0,0,0,,0,33153,12004,133980,1069,,0.0,,6,17,0,0.0,0,0.0,0,0.0,0,0.0,14.5, 7/1
20162702,20200627-176,8.0,8.0,10,CP,176,&C,51.5,0,0,,0,33598,12004,133524,1274,,0.0,,10,6,0,0.0,0,0.0,0,0.0,0,0.0,15.8,26/1
20162393,20200627-176,9.0,9.0,2,CP,176,L,53.0,0,0,,0,33067,2839,16272,263,,0.0,,2,1,0,0.0,0,0.0,0,0.0,0,0.0,18.3,48/1
20162777,20200627-176,10.0,10.0,4,CP,176,TL,56.0,0,0,,0,33204,72713,29623,270,,0.0,,4,0,0,0.0,0,0.0,0,0.0,0,0.0,31.3,64/1
20160157,20200627-176,11.0,11.0,12,CP,176,,52.5,0,0,,0,32973,3310,134441,803,,0.0,,12,0,0,0.0,0,0.0,0,0.0,0,0.0,61.3,99/1
20151898,20200627-177,1.0,1.0,10,CP,177,BL,53.0,0,0,,0,5277,3279,34086,34240,,0.0,,10,0,0,0.0,0,0.0,0,0.0,0,0.0,1.3, 9/5
20150851,20200627-177,2.0,2.0,2,CP,177,TL,51.0,0,0,,0,33132,72655,134594,34079,,725000.0,,2,4,0,0.0,0,0.0,0,0.0,0,0.0,1.3,*7/5
20141274,20200627-177,3.0,3.0,13,CP,177,BL,51.5,0,0,,0,3752,3677,133750,1064,,700000.0,,13,3,0,0.0,0,0.0,0,0.0,0,0.0,2.3,50/1
20142473,20200627-177,4.0,4.0,14,CP,177,LV,52.5,0,0,,0,33598,12004,133619,283,,750000.0,,14,6,0,0.0,0,0.0,0,0.0,0,0.0,3.5,22/1
20132379,20200627-177,5.0,5.0,7,CP,177,L,54.5,0,0,,0,3570,72707,32059,34215,,0.0,,7,14,0,0.0,0,0.0,0,0.0,0,0.0,4.0, 8/1
20160975,20200627-177,6.0,6.0,15,CP,177,L,50.5,0,0,,0,33794,219,33035,17129,,750000.0,,15,0,0,0.0,0,0.0,0,0.0,0,0.0,4.5,99/1
20151045,20200627-177,7.0,7.0,6,CP,177,&L,50.5,0,0,,0,5215,72690,33504,1211,,750000.0,,6,11,0,0.0,0,0.0,0,0.0,0,0.0,6.3, 5/1
20153307,20200627-177,8.0,8.0,3,CP,177,T&L,51.5,0,0,,0,32979,12233,34212,34630,,700000.0,,3,0,0,0.0,0,0.0,0,0.0,0,0.0,6.8,99/1
20150513,20200627-177,9.0,9.0,5,CP,177,TLV,54.5,0,0,,0,5217,219,33035,1926,,750000.0,,5,2,0,0.0,0,0.0,0,0.0,0,0.0,7.0, 9/2
20142211,20200627-177,10.0,10.0,8,CP,177,TLV,51.5,0,0,,0,33984,13457,134393,1253,,750000.0,,8,11,0,0.0,0,0.0,0,0.0,0,0.0,7.0,37/1
20143056,20200627-177,11.0,11.0,1,CP,177,L,51.0,0,0,,0,33517,72695,34046,28,,750000.0,,1,15,0,0.0,0,0.0,0,0.0,0,0.0,7.8,16/1
20152517,20200627-177,12.0,12.0,9,CP,177,T&L,53.0,0,0,,0,32971,14891,30404,1970,,750000.0,,9,0,0,0.0,0,0.0,0,0.0,0,0.0,10.0,99/1
20143490,20200627-177,13.0,13.0,16,CP,177,&L,49.5,0,0,,0,33788,31609,33251,305,,750000.0,,16,8,0,0.0,0,0.0,0,0.0,0,0.0,10.5,27/1
20141456,20200627-177,14.0,14.0,11,CP,177,L,57.0,0,0,,0,33357,2839,16272,346,,750000.0,,11,3,0,0.0,0,0.0,0,0.0,0,0.0,14.0,99/1
20122437,20200627-177,15.0,15.0,4,CP,177,LV,53.0,0,0,,0,33110,72726,12189,34036,,750000.0,,4,4,0,0.0,0,0.0,0,0.0,0,0.0,17.0,16/1
20142175,20200627-177,16.0,16.0,12,CP,177,LV,55.5,0,0,,0,31827,72682,54200,754,,750000.0,,12,1,0,0.0,0,0.0,0,0.0,0,0.0,19.5,99/1
20171132,20200627-178,,0.0,2,CP,178,C,56.0,0,0,LAME,0,33067,72714,133532,892,,0.0,,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20172119,20200627-178,,0.0,11,CP,178,L,54.0,0,0,LAME,0,34077,12004,33864,1274,,0.0,,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20172104,20200627-178,1.0,1.0,1,CP,178,TL,54.5,0,0,,0,3570,3263,134392,2082,,0.0,,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0.8, 7/5
20170059,20200627-178,2.0,2.0,8,CP,178,L,56.0,0,0,,0,5217,219,18999,34318,,0.0,,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0.8, 3/1
20170135,20200627-178,3.0,3.0,12,CP,178,TLV,53.0,0,0,,0,33132,3611,24560,2246,,0.0,,12,0,0,0.0,0,0.0,0,0.0,0,0.0,3.8, 6/1
20172200,20200627-178,4.0,4.0,6,CP,178,B,54.0,0,0,,0,33105,3229,33470,1266,,0.0,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,6.3, 5/1
20172164,20200627-178,5.0,5.0,5,CP,178,L,54.0,0,0,,0,5277,3279,134577,312,,0.0,,5,0,0,0.0,0,0.0,0,0.0,0,0.0,9.8,*6/5
20170019,20200627-178,6.0,6.0,7,CP,178,TL,56.0,0,0,,0,5225,3263,134559,2091,,0.0,,7,0,0,0.0,0,0.0,0,0.0,0,0.0,10.5,12/1
20172679,20200627-178,7.0,7.0,10,CP,178,V,52.0,0,0,,0,33912,2914,34196,67,,0.0,,10,0,0,0.0,0,0.0,0,0.0,0,0.0,20.0,99/1
20172306,20200627-178,8.0,8.0,9,CP,178,&L,54.0,0,0,,0,33072,3677,34143,1064,,0.0,,9,0,0,0.0,0,0.0,0,0.0,0,0.0,24.3,99/1
20171718,20200627-178,9.0,9.0,3,CP,178,TC,54.0,0,0,,0,5274,3752,134403,1012,,0.0,,3,0,0,0.0,0,0.0,0,0.0,0,0.0,24.5,99/1
20171283,20200627-178,10.0,10.0,4,CP,178,L,52.0,0,0,,0,33110,3100,17189,520,,0.0,,4,8,0,0.0,0,0.0,0,0.0,0,0.0,39.5,99/1
20120059,20200627-179,,0.0,4,CP,179,T&L,51.0,0,0,LAME,0,32979,72685,133750,1039,,250000.0,,4,10,0,0.0,0,0.0,0,0.0,0,0.0,0.0,
20142837,20200627-179,1.0,1.0,5,CP,179,TL,51.0,0,0,,0,5215,12233,18999,34340,134339.0,250000.0,3649.0,5,10,0,0.0,0,0.0,0,0.0,0,0.0,2.5, 2/1
20112439,20200627-179,2.0,2.0,7,CP,179,&CL,51.5,0,0,,0,33984,12004,33864,283,16243.0,250000.0,72717.0,7,4,0,0.0,0,0.0,0,0.0,0,0.0,2.5,*3/2
20132879,20200627-179,3.0,3.0,3,CP,179,BTL,54.0,0,0,,0,5238,21536,33883,1065,,250000.0,,3,4,0,0.0,0,0.0,0,0.0,0,0.0,7.5,25/1
20100831,20200627-179,4.0,4.0,9,CP,179,L,52.0,0,0,,0,5209,297,7908,283,,250000.0,,9,12,0,0.0,0,0.0,0,0.0,0,0.0,9.0,34/1
20121758,20200627-179,5.0,5.0,6,CP,179,BL,49.5,0,0,,0,31467,3310,133957,125,,225000.0,,6,15,0,0.0,0,0.0,0,0.0,0,0.0,14.0, 5/1
20130704,20200627-179,6.0,6.0,1,CP,179,CL,51.0,0,0,,0,33598,1035,133974,2073,,250000.0,,1,10,0,0.0,0,0.0,0,0.0,0,0.0,17.5, 8/5
